Year,Total,Male,Female,Ages 0-5,Ages 6-17,"White, non-Hispanic","Black, non-Hispanic",Hispanic,Northeast,South,Midwest,West,"Children in married-couple families, total",Ages 0-5,Ages 6-17,"White, non-Hispanic","Black, non-Hispanic",Hispanic,"Children in female-householder families, no husband present, total",Ages 0-5,Ages 6-17,"White, non-Hispanic","Black, non-Hispanic",Hispanic
1980,0.49,0.68,0.7,0.9,0.57,0.47,1.62,2.41,1.02,0.9,0.9,1.05,0.43,0.79,0.5,0.42,1.87,2.53,1.46,2.68,1.71,2.05,2.24,5.04
1981,0.53,0.74,0.77,0.97,0.63,0.52,1.72,2.58,1.14,0.98,0.98,1.17,0.48,0.87,0.57,0.47,2.07,2.72,1.51,2.69,1.79,2.09,2.33,5.02
1982,0.55,0.77,0.79,0.98,0.66,0.55,1.72,2.59,1.2,0.99,1.04,1.22,0.51,0.89,0.61,0.51,2.14,2.81,1.51,2.61,1.82,2.18,2.24,4.77
1983,0.56,0.77,0.8,0.99,0.67,0.56,1.72,2.46,1.21,0.98,1.07,1.24,0.52,0.92,0.62,0.52,2.17,2.64,1.5,2.59,1.8,2.16,2.28,4.71
1984,0.55,0.76,0.79,0.97,0.66,0.54,1.71,2.09,1.23,0.97,1.06,1.17,0.5,0.88,0.6,0.49,2.18,2.27,1.48,2.59,1.77,2.14,2.26,3.83
1985,0.54,0.75,0.77,0.95,0.65,0.53,1.7,2.03,1.18,0.95,1.06,1.15,0.48,0.85,0.58,0.47,1.92,2.22,1.48,2.57,1.78,2.12,2.29,3.56
1986,0.54,0.75,0.77,0.94,0.65,0.53,1.69,1.98,1.12,0.96,1.04,1.16,0.47,0.81,0.57,0.46,1.81,2.17,1.46,2.52,1.77,2.14,2.26,3.69
1987,0.53,0.74,0.76,0.94,0.64,0.51,1.69,1.97,1.17,1.13,0.87,1.12,0.46,0.82,0.56,0.43,2,2.17,1.41,2.43,1.7,2.04,2.18,3.55
1988,0.57,0.8,0.81,1.01,0.69,0.54,1.82,2.15,1.22,1.22,0.9,1.23,0.49,0.88,0.58,0.45,2.12,2.32,1.54,2.61,1.88,2.23,2.4,3.9
1989,0.54,0.75,0.78,0.96,0.65,0.52,1.72,1.95,1.14,1.16,0.9,1.14,0.47,0.83,0.57,0.45,2.07,2.12,1.45,2.44,1.77,2.09,2.27,3.77
1990,0.55,0.76,0.78,0.97,0.66,0.53,1.71,1.94,1.19,1.17,0.9,1.14,0.48,0.84,0.58,0.46,2.08,2.12,1.42,2.34,1.74,2.07,2.21,3.55
1991,0.55,0.77,0.8,0.97,0.67,0.55,1.7,1.93,1.22,1.16,0.92,1.17,0.48,0.85,0.59,0.47,1.93,2.18,1.38,2.28,1.7,2.02,2.13,3.44
1992,0.55,0.76,0.79,0.98,0.66,0.55,1.65,1.77,1.24,1.16,0.89,1.14,0.49,0.89,0.58,0.47,2.04,1.99,1.34,2.17,1.67,2.01,2.06,3.26
1993,0.55,0.77,0.78,0.97,0.66,0.55,1.64,1.74,1.25,1.16,0.89,1.15,0.5,0.89,0.6,0.48,2.03,2,1.32,2.18,1.64,1.97,2.07,3.11
1994,0.54,0.75,0.77,0.96,0.65,0.53,1.62,1.71,1.22,1.13,0.87,1.15,0.48,0.85,0.57,0.45,1.88,1.96,1.32,2.2,1.62,1.95,2.1,3.05
1995,0.55,0.76,0.79,0.99,0.65,0.53,1.68,1.74,1.23,1.18,0.86,1.15,0.48,0.85,0.58,0.45,1.83,1.97,1.35,2.3,1.64,1.98,2.18,3.1
1996,0.54,0.75,0.78,0.98,0.65,0.53,1.67,1.71,1.24,1.16,0.83,1.16,0.48,0.87,0.57,0.43,1.88,1.94,1.37,2.42,1.64,1.99,2.25,3.18
1997,0.54,0.75,0.77,0.97,0.64,0.53,1.64,1.66,1.27,1.13,0.82,1.14,0.47,0.84,0.56,0.42,1.77,1.85,1.37,2.47,1.63,2.02,2.27,3.21
1998,0.53,0.73,0.76,0.95,0.63,0.52,1.64,1.61,1.22,1.1,0.83,1.12,0.46,0.83,0.55,0.43,1.79,1.76,1.36,2.46,1.61,1.96,2.29,3.16
1999,0.5,0.7,0.73,0.92,0.6,0.5,1.6,1.49,1.16,1.08,0.8,1.05,0.44,0.8,0.53,0.41,1.62,1.63,1.36,2.56,1.6,1.97,2.34,3.18
2000,0.35,0.49,0.5,0.65,0.42,0.35,1.12,1.03,0.8,0.78,0.54,0.73,0.31,0.55,0.37,0.29,1.05,1.12,0.97,1.83,1.13,1.38,1.67,2.32
2001,0.35,0.49,0.5,0.65,0.42,0.36,1.11,1.01,0.82,0.8,0.53,0.7,0.31,0.56,0.36,0.29,1.11,1.08,0.96,1.82,1.12,1.39,1.68,2.26
2002,0.35,0.5,0.5,0.65,0.42,0.36,1.15,1,0.81,0.79,0.54,0.73,0.31,0.58,0.37,0.3,1.23,1.1,0.95,1.8,1.11,1.38,1.66,2.22
2003,0.36,0.51,0.51,0.67,0.43,0.37,1.16,1,0.81,0.81,0.56,0.74,0.32,0.57,0.38,0.3,1.25,1.09,0.95,1.77,1.1,1.41,1.64,2.14
2004,0.36,0.5,0.52,0.66,0.43,0.38,1.16,0.97,0.82,0.8,0.59,0.73,0.32,0.58,0.39,0.31,1.3,1.06,0.94,1.76,1.11,1.42,1.65,2.1
2005,0.36,0.5,0.52,0.66,0.43,0.37,1.17,0.95,0.82,0.8,0.57,0.72,0.31,0.57,0.37,0.29,1.3,1.02,0.95,1.75,1.12,1.44,1.66,2.09
2006,0.36,0.5,0.51,0.66,0.42,0.37,1.16,0.92,0.83,0.8,0.57,0.71,0.31,0.56,0.37,0.29,1.25,0.98,0.94,1.71,1.1,1.42,1.67,2
2007,0.36,0.5,0.52,0.66,0.43,0.38,1.17,0.92,0.84,0.82,0.57,0.7,0.32,0.57,0.38,0.3,1.25,0.99,0.93,1.67,1.1,1.43,1.65,1.96
2008,0.37,0.51,0.53,0.66,0.44,0.39,1.18,0.92,0.85,0.81,0.6,0.74,0.34,0.6,0.4,0.32,1.25,1.01,0.94,1.66,1.12,1.46,1.67,1.92
2009,0.38,0.53,0.54,0.69,0.45,0.41,1.19,0.92,0.88,0.84,0.6,0.77,0.35,0.65,0.42,0.34,1.41,1.05,0.93,1.64,1.11,1.47,1.68,1.82
2010,0.39,0.55,0.56,0.72,0.46,0.42,1.23,0.92,0.89,0.87,0.62,0.79,0.37,0.67,0.43,0.36,1.55,1.06,0.92,1.63,1.09,1.49,1.66,1.77
2011,0.39,0.54,0.56,0.71,0.46,0.43,1.24,0.91,0.91,0.86,0.62,0.8,0.36,0.65,0.43,0.36,1.54,1.04,0.91,1.6,1.09,1.47,1.68,1.72
2012,0.39,0.54,0.56,0.71,0.46,0.43,1.23,0.91,0.92,0.87,0.61,0.78,0.36,0.67,0.43,0.36,1.48,1.05,0.92,1.64,1.1,1.52,1.7,1.73
2013,0.38,0.52,0.55,0.69,0.45,0.4,1.24,0.88,0.89,0.85,0.57,0.76,0.34,0.61,0.4,0.32,1.56,0.98,0.93,1.66,1.1,1.52,1.71,1.72